uid,Name,Email,Gender,Phone,Address,Date of Birth
1,Mehak Malhotra,mehakmalhotra1705@gmail.com,Female,9914600112,"H. No. 1746 , new chander nagar , ludhiana",17-04-2005
2,Saanvi Kunda,wsubramanian@hotmail.com,Female,7203734408,"413
Chada Nagar, Khandwa, Telangana - 156200, India",08-02-1967
3,Baiju Mall,miraya99@yahoo.com,Male,7180955579,"21/569
Rajan, Amravati, Tripura - 181375, India",20-11-1992
4,Yashvi Jhaveri,contractorryan@hotmail.com,Female,7111871580,"40/12, Ray Road, Bikaner, Maharashtra - 003261, India",15-06-1985
5,Devansh Taneja,pbhandari@uppal-dube.com,Male,8870392110,"78, Gopal Zila, Bellary, Uttarakhand - 588825, India",13-09-1993
6,Nirvaan Kadakia,anay37@keer-tak.info,Male,7892917234,"H.No. 21, Bava Road, Arrah, Karnataka - 722834, India",18-04-1989
7,Prerak Saini,bedirati@gmail.com,Female,6190733584,"662
Chana Street, Medininagar, Andhra Pradesh - 571288, India",31-05-1964
8,Hiran Dash,onkar68@bhatt.com,Female,6580259219,"H.No. 16, Wadhwa Chowk, Surendranagar Dudhrej, Telangana - 398459, India",11-03-1983
9,Jayesh Sama,atwalnishith@rama.org,Female,7445308524,"45
Bail Ganj, Bidar, Arunachal Pradesh - 946229, India",01-08-2004
10,Vritika Salvi,ayesha61@yahoo.com,Female,9919244124,"H.No. 527
Dara Path, Coimbatore, Uttarakhand - 077861, India",05-02-1977
11,Saanvi Vohra,miraya93@hotmail.com,Male,7915428892,"84, Sathe Nagar, Gaya, Jharkhand - 758741, India",15-03-1998
12,Charvi Handa,rgopal@ratta.com,Male,8948490980,"H.No. 47
Subramaniam Zila, Bellary, Odisha - 415778, India",15-02-1997
13,Seher Grewal,madhupborah@yahoo.com,Male,6603256923,"176, Sibal, Hubli–Dharwad, Tripura - 960079, India",21-06-2000
14,Charvi Luthra,kismatsankar@dhawan-chand.com,Female,7544326581,"18
De Road, Kanpur, Odisha - 766863, India",19-07-2000
15,Dharmajan Din,dishani19@chawla.com,Male,7249515956,"H.No. 54, Sane Circle, Visakhapatnam, Maharashtra - 495611, India",25-08-1994
16,Kismat Ahluwalia,vihaan98@gmail.com,Male,9520729525,"98/511, Bhatt Path, Phusro, Arunachal Pradesh - 186792, India",20-02-1972
17,Tushar Chaudhuri,kashvi92@hotmail.com,Male,6805457221,"H.No. 20
Salvi Road, Dibrugarh, Sikkim - 191225, India",04-06-1984
18,Shlok Varughese,sanejayan@yahoo.com,Male,8481999291,"204, Loyal Street, Ludhiana, Bihar - 980424, India",02-05-1966
19,Vardaniya Vasa,nityabala@gmail.com,Male,8620836538,"458, Dara Path, Jehanabad, Gujarat - 639438, India",09-02-2002
20,Jiya Sani,chandavanya@hotmail.com,Female,6746372655,"25, Khanna Road, Uluberia, Karnataka - 952253, India",18-03-1996
21,Saira Bajwa,usarin@chander-srinivasan.com,Male,8652299443,"677
Dass Zila, Ambarnath, Madhya Pradesh - 111995, India",03-11-1978
22,Arnav Raj,krishnaseher@grover.biz,Male,7650548698,"84/479
Maharaj Path, Thoothukudi, Andhra Pradesh - 183156, India",06-05-2000
23,Vidur Zacharia,hkara@gmail.com,Male,7390235293,"38
Bhattacharyya Road, Nanded, Uttar Pradesh - 032982, India",30-09-2000
24,Arnav Chauhan,purabdash@hotmail.com,Female,7310638864,"H.No. 56, Kari Street, Kochi, Uttarakhand - 351778, India",22-04-1991
25,Tejas Soni,anya73@gmail.com,Female,7589048067,"83
Goel Marg, Bardhaman, Uttar Pradesh - 577005, India",10-07-1992
26,Vaibhav Kar,krishnanraghav@jani.org,Male,9661980425,"77/67, Choudhry Marg, Guna, Goa - 229471, India",11-03-1992
27,Emir Chakraborty,saira35@yahoo.com,Female,6518653642,"01/931
Kulkarni Marg, Jabalpur, Tamil Nadu - 509707, India",12-12-1990
28,Yuvraj  Kashyap,vswamy@raman.com,Female,6567976388,"H.No. 321
Aurora Circle, Bally, Kerala - 686230, India",12-05-2004
